time,ax,ay,az,gx,gy,gz
211902,-0.3,0.7,-0.15,10.89,50.82,-18.93
211914,-0.29,0.82,-0.25,13.14,31.24,-43.99
211926,-0.27,0.94,-0.37,15.58,7.58,-70.15
211938,-0.24,0.97,-0.48,22.23,-15.89,-96.43
211950,-0.17,1.0,-0.48,34.67,-37.96,-121.12
212107,0.46,2.97,0.85,193.69,-75.65,-342.52
212119,0.96,3.19,1.05,199.49,-45.77,-338.07
212132,1.21,3.24,1.19,187.23,-24.24,-321.85
212143,1.21,2.98,1.26,163.69,-23.51,-284.29
212167,1.16,2.49,1.33,102.41,-13.88,-188.8
212179,1.42,2.18,1.33,78.14,1.24,-150.76
212191,1.51,1.77,1.31,61.19,18.74,-120.82
212203,1.44,1.39,1.21,48.57,27.77,-99.72
212215,1.25,1.03,1.14,40.4,26.67,-78.26
212227,1.06,0.78,1.13,31.07,13.01,-60.33
212239,1.15,0.63,0.92,20.16,-1.07,-43.5
212251,1.27,0.45,0.76,9.49,0.33,-27.71
212263,1.29,0.21,0.75,0.03,11.79,-16.0
212275,1.21,-0.03,0.82,-6.43,22.22,-8.13
212287,1.2,-0.25,0.86,-8.14,22.34,-0.69
212299,1.31,-0.33,0.78,-14.23,8.38,11.2
212311,1.6,-0.29,0.66,-21.18,-1.5,33.15
212323,1.6,-0.15,0.71,-40.64,-9.18,64.73
212335,2.01,-0.08,0.94,-64.66,7.46,113.21
212347,2.5,0.1,1.05,-91.31,42.71,157.84
212359,2.71,0.28,0.99,-113.99,56.79,206.38
212371,2.8,0.62,1.0,-133.32,51.06,256.38
212383,2.87,1.11,1.02,-151.61,32.04,304.06
212542,-4.29,2.37,-2.6,11.38,228.68,189.06
212554,-4.69,2.3,-2.95,94.3,204.41,54.85
212566,-4.27,2.51,-2.91,162.66,141.91,-89.54
212578,-3.69,2.82,-2.51,226.07,58.5,-231.18
212602,-2.46,3.03,-1.67,268.45,-102.17,-426.49
212614,-1.61,3.04,-1.03,256.25,-106.68,-456.91
212626,-0.77,3.17,-0.28,245.22,-73.88,-467.83
212638,0.11,3.32,0.3,250.77,-27.05,-467.34
212650,0.77,3.66,0.76,257.9,-13.39,-463.99
212662,1.44,4.02,1.0,265.03,-28.94,-448.93
212674,2.1,4.07,1.36,251.62,-56.07,-411.67
212686,2.63,3.87,1.65,212.9,-86.68,-355.63
212698,2.96,3.39,1.75,161.32,-105.22,-279.11
212710,3.23,2.52,1.72,116.19,-107.84,-210.09
212722,3.31,1.34,1.79,85.46,-116.87,-165.69
212734,3.52,0.2,1.85,68.88,-148.51,-139.96
212746,3.7,-0.65,1.74,43.45,-187.66,-120.63
212758,3.71,-1.47,1.64,15.95,-208.76,-90.51
212770,3.8,-1.81,1.62,-29.66,-211.62,-39.35
212782,4.09,-2.01,1.5,-69.84,-216.44,23.51
212794,4.29,-1.84,1.49,-99.9,-227.23,87.35
212806,4.41,-1.35,1.42,-115.03,-235.16,150.95
212818,4.22,-0.93,1.44,-119.17,-229.49,228.09
212983,-3.7,3.3,-1.95,-154.23,231.91,304.31
212995,-4.36,3.04,-2.85,-101.92,293.5,181.5
213007,-4.62,2.95,-3.37,11.5,185.69,-0.76
213019,-4.24,2.9,-3.41,118.57,-5.83,-186.73
213043,-3.08,3.4,-2.29,217.17,-119.49,-444.84
213055,-1.98,3.81,-1.77,220.1,-51.44,-489.17
213067,-1.11,3.86,-1.22,229.73,-0.95,-506.12
213079,-0.4,3.9,-0.71,248.27,-5.4,-513.44
213091,0.62,3.94,0.02,253.08,-26.81,-503.13
213103,1.5,4.38,0.69,220.83,-64.37,-490.82
213115,2.51,4.81,0.96,188.63,-118.45,-465.15
213127,3.3,4.67,0.98,157.41,-205.16,-443.13
213139,4.04,3.68,1.09,129.97,-292.72,-405.09
213151,4.45,2.5,1.5,93.69,-329.85,-349.48
213163,4.54,1.49,1.49,55.58,-301.44,-277.77
213175,4.33,0.52,1.35,29.12,-245.16,-213.19
213187,4.22,-0.2,0.94,9.79,-221.5,-167.59
213199,4.04,-0.88,0.53,-0.27,-249.49,-131.18
213211,4.18,-1.65,0.6,3.57,-279.24,-101.06
213223,4.14,-2.19,0.29,-14.42,-284.85,-61.91
213235,4.06,-2.92,0.42,-25.09,-264.85,-5.51
213247,4.04,-3.18,0.47,-24.29,-257.6,58.45
213259,4.07,-2.75,0.52,-15.15,-244.49,130.52
213424,3.52,4.83,5.16,-406.0,1.55,630.28
213436,3.0,4.74,4.71,-442.53,13.62,632.78
213448,2.66,4.35,4.29,-465.51,23.62,617.48
213460,2.35,3.84,3.81,-477.71,45.88,598.15
213484,1.96,3.02,2.75,-478.81,104.96,551.44
213496,1.99,2.77,2.22,-465.76,135.88,528.09
213508,2.06,2.65,1.84,-452.28,175.02,504.18
213520,2.28,2.61,1.48,-438.99,225.57,474.49
213532,2.37,2.63,1.08,-427.22,276.18,436.44
213544,2.24,2.56,0.59,-416.0,304.47,395.46
213556,1.83,2.34,-0.03,-402.28,314.84,351.81
213568,1.28,1.91,-0.58,-389.9,321.55,305.28
213580,0.93,1.5,-1.15,-385.39,338.87,253.45
213592,0.76,1.26,-1.54,-386.98,355.27,184.79
213604,0.5,1.64,-2.22,-393.75,320.63,105.65
213616,0.36,1.65,-3.22,-360.94,226.91,32.41
213628,0.3,1.61,-3.78,-310.7,91.97,-32.4
